Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Team Sync,06/01/2023,09:00 AM,06/01/2023,10:00 AM,False,Daily team synchronization,Room 101,False
Lunch Break,06/01/2023,12:00 PM,06/01/2023,01:00 PM,False,,,True
Afternoon Review,06/01/2023,02:00 PM,06/01/2023,03:00 PM,False,Weekly progress check,Conference Room A,False
Company Retreat,06/05/2023,,06/05/2023,,True,,,False
Holiday,06/19/2023,,06/19/2023,,True,,,True
Weekly Review,06/02/2023,03:00 PM,06/02/2023,04:00 PM,False,,,False
Weekly Review,06/09/2023,03:00 PM,06/09/2023,04:00 PM,False,,,False
Weekly Review,06/16/2023,03:00 PM,06/16/2023,04:00 PM,False,,,False
Weekly Review,06/23/2023,03:00 PM,06/23/2023,04:00 PM,False,,,False
Project Kickoff,06/06/2023,01:00 PM,06/06/2023,02:30 PM,False,New project initiation,Conference Room B,True
Client Meeting,06/08/2023,11:00 AM,06/08/2023,12:00 PM,False,Quarterly review,Zoom,False
Early Meeting,06/01/2023,07:00 AM,06/01/2023,08:00 AM,False,,,False
Evening Session,06/01/2023,05:00 PM,06/01/2023,06:00 PM,False,,,False
"""Morning Meeting""",05/15/2023,08:30 AM,05/15/2023,10:00 AM,False,,,False
"""Lunch Break""",05/15/2023,12:00 PM,05/15/2023,01:30 PM,False,,,False
"""Afternoon Session""",05/15/2023,02:30 PM,05/15/2023,04:00 PM,False,,,False
Weekly 1on1,06/13/2023,02:00 PM,06/13/2023,02:30 PM,False,,,False
Weekly 1on1,06/20/2023,02:00 PM,06/20/2023,02:30 PM,False,,,False
Weekly 1on1,06/27/2023,02:00 PM,06/27/2023,02:30 PM,False,,,False
Department Meeting,06/15/2023,11:00 AM,06/15/2023,12:00 PM,False,Monthly department updates,Large Conference Room,False
